shared name	FOLDCHANGE	PVALUE
AT1G02810 (INDUCED:PCHX) AT2G22430	1.2	6.2E-34
AT1G02810 (INDUCED:PCHX) AT2G39250	0.5	7.1E-05
AT1G02810 (INDUCED:PCHX) AT4G16141	0.5	2.5E-04
AT1G02810 (INDUCED:PCHX) AT5G10030	0.5	1.9E-04
AT1G02810 (INDUCED:PCHX) AT5G10970	1.2	1.5E-24
AT1G02810 (INDUCED:PCHX) AT5G15830	1.4	2.9E-27
AT1G02810 (INDUCED:PCHX) AT5G49450	0.6	1.3E-03
AT1G02810 (INDUCED:PCHX) AT5G57660	0.4	3.3E-03
AT1G02810 (INDUCED:PCHX) AT5G62020	0.3	8.7E-02
AT1G02810 (INDUCED:PCHX) AT5G62430	1.5	2.2E-33
AT1G02810 (INDUCED:PCHX) AT5G65210	1.0	4.1E-22
AT1G02816 (INDUCED:PCHX) AT5G57660	0.5	2.0E-02
AT1G02840 (INDUCED:PCHX) AT5G10970	0.3	4.9E-02
AT1G02840 (INDUCED:PCHX) AT5G15830	0.5	8.0E-04
AT1G02840 (INDUCED:PCHX) AT5G49450	0.3	6.4E-02
AT1G02840 (INDUCED:PCHX) AT5G65210	0.4	5.8E-04
AT1G02850 (REPRESSED:PCHX) AT2G22200	-0.6	1.9E-05
AT1G02850 (REPRESSED:PCHX) AT2G33550	-0.3	7.8E-02
AT1G02850 (REPRESSED:PCHX) AT3G16870	-0.4	1.1E-02
AT1G02850 (REPRESSED:PCHX) AT4G39780	-0.3	3.9E-02
AT1G02850 (REPRESSED:PCHX) AT5G62020	-0.8	2.2E-08
AT1G02850 (REPRESSED:PCHX) AT5G65210	-0.6	1.1E-06
AT1G02860 (INDUCED:PCHX) AT1G66140	0.7	5.0E-04
AT1G02860 (INDUCED:PCHX) AT1G68670	0.7	7.5E-04
AT1G02860 (INDUCED:PCHX) AT4G39780	0.4	8.8E-02
AT1G02860 (INDUCED:PCHX) AT5G15830	0.6	9.8E-03
AT1G02860 (INDUCED:PCHX) AT5G49450	0.5	1.1E-02
AT1G02860 (INDUCED:PCHX) AT5G62430	0.7	7.5E-04
AT1G02870 (INDUCED:PCHX) AT5G07680	0.6	1.7E-02
AT1G02870 (INDUCED:PCHX) AT5G10970	0.6	2.6E-02
AT1G02870 (INDUCED:PCHX) AT5G15830	0.6	1.3E-02
AT1G02890 (INDUCED:PCHX) AT2G39250	0.2	9.3E-02
AT1G02900 (REPRESSED:PCHX) AT1G25550	-0.4	5.2E-02
AT1G02900 (REPRESSED:PCHX) AT2G22430	-0.4	9.9E-04
AT1G02900 (INDUCED:PCHX) AT2G33550	0.9	4.9E-07
AT1G02900 (INDUCED:PCHX) AT3G49940	0.7	6.8E-05
AT1G02900 (REPRESSED:PCHX) AT4G16141	-0.7	3.3E-06
AT1G02900 (INDUCED:PCHX) AT4G39780	0.7	6.0E-04
AT1G02900 (INDUCED:PCHX) AT5G07680	0.5	2.9E-02
AT1G02900 (REPRESSED:PCHX) AT5G49450	-0.9	3.1E-08
AT1G02900 (REPRESSED:PCHX) AT5G57660	-0.4	5.1E-02
AT1G02900 (INDUCED:PCHX) AT5G62020	0.6	8.1E-04
AT1G02900 (REPRESSED:PCHX) AT5G65210	-1.1	1.7E-13
AT1G02970 (INDUCED:PCHX) AT5G62020	1.1	2.7E-02
AT1G02980 (INDUCED:PCHX) AT2G22200	1.2	2.0E-05
AT1G02980 (INDUCED:PCHX) AT2G33550	0.6	1.8E-02
AT1G02980 (INDUCED:PCHX) AT3G16870	1.2	1.2E-05
AT1G02980 (INDUCED:PCHX) AT3G49940	0.7	8.4E-03
AT1G02980 (INDUCED:PCHX) AT4G39780	0.6	1.8E-02
AT1G02980 (INDUCED:PCHX) AT5G62020	1.1	1.8E-04
AT1G02980 (INDUCED:PCHX) AT5G65210	0.9	2.3E-04
AT1G03040 (REPRESSED:PCHX) AT1G66140	-0.4	7.5E-02
AT1G03040 (REPRESSED:PCHX) AT1G68670	-0.4	4.9E-02
AT1G03040 (REPRESSED:PCHX) AT5G10970	-0.5	2.2E-03
AT1G03040 (REPRESSED:PCHX) AT5G49450	-0.4	5.4E-02
AT1G03040 (REPRESSED:PCHX) AT5G65210	-0.5	7.4E-04
AT1G03060 (INDUCED:PCHX) AT5G49450	0.3	5.3E-02
AT1G03060 (INDUCED:PCHX) AT5G65210	0.2	9.4E-02
AT1G03080 (INDUCED:PCHX) AT1G25550	0.3	4.9E-02
